Asset,Properties,Type,Size,Source,Legal Issues,Use
.DS_Store,Unknown,Other,10.0 KB,Local Storage,Check Copyright,Personal Use
Benedict Cumberbatch 2024.jpg,"330x440, RGB",Image,29.77 KB,Local Storage,Check Copyright,Personal Use
Benedict Cumberbatch Iconic Roles (1).mp4,"1920x1080, 452.6s",Video,38587.52 KB,Local Storage,Check Copyright,Personal Use
Benedict Cumberbatch Iconic Roles.mp4,"1280x720, 452.6s",Video,26024.84 KB,Local Storage,Check Copyright,Personal Use
Benedict Cumberbatch Turing.jpeg,"141x200, RGB",Image,4.96 KB,Local Storage,Check Copyright,Personal Use
Benedict Cumberbatch Turing.jpg,"707x1000, RGB",Image,127.94 KB,Local Storage,Check Copyright,Personal Use
Book Icon.png,"512x512, RGBA",Image,7.47 KB,Local Storage,Check Copyright,Personal Use
Churchill colourised imagination.jpeg,"675x900, RGB",Image,102.04 KB,Local Storage,Check Copyright,Personal Use
Clock Icon.png,"512x512, RGBA",Image,17.16 KB,Local Storage,Check Copyright,Personal Use
Custom Winston Churchill Video.mp4,"1080x1920, 6.28s",Video,7520.32 KB,Local Storage,Check Copyright,Personal Use
Cut of Benedict Cumberbatch.mp4,"1920x1080, 16.05s",Video,9897.86 KB,Local Storage,Check Copyright,Personal Use
Drama Icon.png,"512x512, RGBA",Image,14.37 KB,Local Storage,Check Copyright,Personal Use
Harrow School.jpg,"1280x960, RGB",Image,239.81 KB,Local Storage,Check Copyright,Personal Use
Home Icon.png,"512x512, P",Image,4.93 KB,Local Storage,Check Copyright,Personal Use
Michael Rosen Events.jpg,"697x1024, RGB",Image,124.67 KB,Local Storage,Check Copyright,Personal Use
Michael Rosen Rap (1).mp3,"128.0 kbps, 415.13s",Audio,6557.09 KB,Local Storage,Check Copyright,Personal Use
Michael Rosen Rap.m4a,"127.95 kbps, 65.94s",Audio,1041.91 KB,Local Storage,Check Copyright,Personal Use
Michael Rosen Rap.mp3,"128.0 kbps, 415.13s",Audio,6557.09 KB,Local Storage,Check Copyright,Personal Use
Michael Rosen.jpg,"255x368, RGB",Image,27.37 KB,Local Storage,Check Copyright,Personal Use
Planet Earth Icon.png,"512x512, RGBA",Image,29.49 KB,Local Storage,Check Copyright,Personal Use
Teriyaki Boyz Tokyo Drift.mp3,"128.0 kbps, 256.77s",Audio,4095.58 KB,Local Storage,Check Copyright,Personal Use
The Hypnotiser Kids Poems.mp4,"480x270, 62.6s",Video,1698.14 KB,Local Storage,Check Copyright,Personal Use
Tophat Icon.png,"512x512, RGBA",Image,11.78 KB,Local Storage,Check Copyright,Personal Use
Trees Icon.png,"512x512, RGBA",Image,17.71 KB,Local Storage,Check Copyright,Personal Use
Victory Winston Churchill.jpeg,"299x168, RGB",Image,4.78 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill (1).jpeg,"284x177, RGB",Image,10.23 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill (2).jpeg,"197x256, RGB",Image,9.84 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill 1941 by Yousuf Karsh.jpg,"300x419, L",Image,14.01 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Colorized.jpg,"675x900, RGB",Image,110.88 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Image (1).jpeg,"194x259, RGB",Image,8.47 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Image (2).jpeg,"185x272, RGB",Image,6.22 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Image.jpeg,"199x253, RGB",Image,4.04 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Never Give In Speech.mp3,"128.0 kbps, 19.16s",Audio,303.38 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Victory (1).jpeg,"200x251, RGB",Image,4.16 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Victory Image.jpeg,"251x201, RGB",Image,9.7 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill Victory.jpeg,"284x177, RGB",Image,5.69 KB,Local Storage,Check Copyright,Personal Use
Winston Churchill.jpeg,"251x201, RGB",Image,4.46 KB,Local Storage,Check Copyright,Personal Use
benedict.jpeg,"281x179, RGB",Image,7.75 KB,Local Storage,Check Copyright,Personal Use
bw churchill.jpg,"300x419, L",Image,14.01 KB,Local Storage,Check Copyright,Personal Use
chquote.png,"300x419, RGB",Image,106.7 KB,Local Storage,Check Copyright,Personal Use
churchill statue.jpg,"373x499, RGB",Image,41.42 KB,Local Storage,Check Copyright,Personal Use
colourchurchill.png,"300x419, RGB",Image,185.54 KB,Local Storage,Check Copyright,Personal Use
